question_id,category,baseline_overall,enhanced_overall,overall_improvement,baseline_sql,enhanced_sql,sql_improvement,baseline_tables,enhanced_tables,tables_improvement,baseline_methodology,enhanced_methodology,methodology_improvement
Complex_13,Complex,90.62885657031305,96.70571955719558,6.0768629868825315,97.73062730627306,97.73062730627306,0.0,100.0,100.0,0.0,72.22222222222221,95.0,22.777777777777786
Complex_26,Complex,77.42398848441852,80.36602870813397,2.942040223715452,53.9869238736406,59.617224880382764,5.630301006742165,93.33333333333333,100.0,6.666666666666671,85.0,85.0,0.0
Complex_32,Complex,85.44072316352357,86.47694903797637,1.0362258744527963,86.1580547112462,76.68738686175068,-9.470667849495513,80.0,94.54545454545455,14.545454545454547,90.0,90.0,0.0
Complex_18,Complex,82.77918399024081,89.7657114624506,6.9865274722097865,83.53857566765578,82.18774703557312,-1.3508286320826528,88.0,100.0,12.0,75.0,90.0,15.0
Complex_1,Complex,83.72918970384168,87.63643344709898,3.907243743257297,68.99746008708273,76.10409556313994,7.106635476057207,100.0,100.0,0.0,85.0,90.0,5.0
Complex_7,Complex,99.13987170938236,98.98432835820896,-0.15554335117340656,99.95522388059702,99.95522388059702,0.0,100.0,100.0,0.0,100.0,100.0,0.0
Complex_33,Complex,91.18325897686516,89.73134328358208,-1.451915693283084,82.08955223880596,82.08955223880596,0.0,100.0,100.0,0.0,95.0,90.0,-5.0
Complex_23,Complex,87.70746002494228,87.71711076280042,0.009650737858137859,75.96975088967972,72.52507836990596,-3.4446725197737607,100.0,93.33333333333333,-6.666666666666671,90.0,100.0,10.0
Complex_9,Complex,83.22066963215902,80.09631147540983,-3.1243581567491816,82.41803278688525,82.41803278688525,0.0,91.42857142857143,85.0,-6.428571428571431,75.0,70.0,-5.0
Complex_19,Complex,70.76735330032218,75.63164791120703,4.864294610884841,61.9705694177863,68.8376753507014,6.867105932915102,76.0,86.15384615384616,10.15384615384616,70.0,70.0,0.0
